speaker,label,prev,post,dur,f1_50,f2_50,f3_50,f1_25,f2_25,f3_25,f1_75,f2_75,f3_75
s04,ah,k,z,0.066,555.2913291,1751.23031,2920.230187,,,,,,
s04,iy,hh,#,0.113,365.6546742,2689.37001,3019.41842,353.6377688,2704.467701,3070.61306,365.7775752,2652.003226,2956.039955
s08,ah,v,v,0.030625,653.6951201,1769.117286,2782.713238,,,,,,
s08,uw,t,#,0.0790625,423.4454129,1865.745791,2686.223213,,,,,,
s04,ih,hh,z,0.085,472.2895172,2001.920215,2906.440548,497.1581774,1932.300222,2882.228951,419.606495,1750.788713,2916.701132
s03,uw,hh,#,0.116,320.7812965,992.5892614,2512.737187,326.0801497,935.2584608,2307.612498,324.8485793,1666.75926,2999.367425
s08,ah,f,f,0.034,501.1749175,1556.276754,1626.109686,,,,,,
s01,ow,b,s,0.090875,706.9930425,1357.983247,3064.989026,691.3308059,1372.054694,2982.892809,685.5533173,1456.554309,3191.595585
s04,ow,g,#,0.078625,613.5487127,1622.686033,2776.24503,,,,,,
s03,ah,d,z,0.2,569.9384861,1113.410855,2543.582686,500.8871143,1432.567845,2564.536833,491.8347252,1637.275864,2536.520662
s08,uh,g,d,0.0584375,500.9148377,2012.627536,2706.640268,,,,,,
s08,ao,f,f,0.07975,788.7951641,1321.495586,2553.183161,,,,,,
s03,ae,v,v,0.230875,627.8965227,1636.378015,2581.478615,596.9963824,1669.560739,3242.042808,632.6961065,1463.801941,2409.106742
s04,aa,hh,#,0.076,861.3554204,1652.612832,2662.637685,,,,,,
s04,ih,sh,s,0.10825,566.124942,1807.382012,2984.22844,564.8872795,1857.203025,2996.471133,568.8539673,1713.979343,2997.501639
s04,uh,t,k,0.049,529.9002498,1635.627039,2800.40012,,,,,,
s08,ay,d,d,0.1388125,866.8538142,1824.475905,2687.870394,953.9090454,1740.458001,2461.259449,663.4111489,2009.085088,2758.418406
s04,ow,s,#,0.251,740.3202145,1488.7196,2930.593719,713.1966906,1506.100306,3011.67767,687.5322036,1251.534157,2967.002423
s14,ih,z,z,0.27,446.7186462,1929.719541,2971.874599,409.4839017,2034.399042,2901.556908,419.9645315,1892.96237,2927.919586
s15,ay,g,z,0.1645,724.1439665,1463.454398,2216.9143,731.7017698,1450.243682,2211.001715,703.8914553,1598.62294,2250.448513
s14,ae,t,k,0.16,808.2044913,1776.541181,2664.416063,843.5899558,1793.140681,2038.569752,816.678837,1792.350452,2532.845985
s04,ao,t,k,0.14,716.6038373,1109.793864,2518.746943,639.5829674,1018.525303,2503.688012,687.718259,1189.610988,2485.472596
s08,ah,s,s,0.03,507.7388746,1794.458071,1910.253492,,,,,,
s04,uw,d,#,0.096,376.4549445,2090.531454,2686.284641,376.71781,2161.587952,2705.912584,368.2486683,1838.935468,2634.774025
s08,ow,g,#,0.266875,632.1962785,1248.764981,2480.164753,701.5787609,1617.661453,2566.857549,522.8610439,999.0357486,2606.520088
s15,ah,v,v,0.041875,425.8369944,1433.660931,2309.464222,,,,,,
s04,ah,k,z,0.101,619.2638972,1807.417488,2961.42273,635.0481264,1842.610781,2898.895401,568.9654716,1756.825887,2933.979657
