f1,f2,f3,dur,f1_raw,f2_raw,f3_raw,dur_raw,speaker,label
0.348721547,0.414144942,0.865908748,-1.878671282,0.348721547,0.414144942,0.865908748,-1.878671282,m24,eh
-0.419086726,0.573782309,0.491295743,-0.571603838,-0.419086726,0.573782309,0.491295743,-0.571603838,m24,ih
-1.440416599,1.752970329,1.762523479,0.468715147,-1.440416599,1.752970329,1.762523479,0.468715147,m24,iy
0.435643239,-0.999177884,-0.399177791,-0.598278684,0.435643239,-0.999177884,-0.399177791,-0.598278684,m24,uh
-1.078242885,-1.29291064,-1.050144651,0.415365456,-1.078242885,-1.29291064,-1.050144651,0.415365456,m24,uw
0.389467921,0.520451405,0.381428113,1.67855186,0.389467921,0.520451405,0.381428113,1.67855186,m25,ae
1.557871684,-0.839880128,-0.345787713,0.621064188,1.557871684,-0.839880128,-0.345787713,0.621064188,m25,ah
0.461927069,0.260560183,-0.39886916,-0.92991773,0.461927069,0.260560183,-0.39886916,-0.92991773,m25,eh
-0.597787972,0.644543611,0.530056166,-1.258913895,-0.597787972,0.644543611,0.530056166,-1.258913895,m25,ih
-1.295207273,1.641963978,1.984487819,0.903060901,-1.295207273,1.641963978,1.984487819,0.903060901,m25,iy
0.751763662,-0.687691574,-1.221631592,-0.412923758,0.751763662,-0.687691574,-1.221631592,-0.412923758,m25,uh
-1.268035092,-1.539947475,-0.929683632,-0.600921566,-1.268035092,-1.539947475,-0.929683632,-0.600921566,m25,uw
0.309599398,0.654327918,-0.124609156,0.780551292,0.309599398,0.654327918,-0.124609156,0.780551292,m26,ae
1.35667152,-0.543922743,-0.236177819,1.209089256,1.35667152,-0.543922743,-0.236177819,1.209089256,m26,ah
0.764142335,0.028023332,-0.18546479,-1.076446553,0.764142335,0.028023332,-0.18546479,-1.076446553,m26,eh
-0.22611192,0.592879166,0.301380284,-1.433561523,-0.22611192,0.592879166,0.301380284,-1.433561523,m26,ih
-1.58974073,1.66586891,2.208190159,1.209089256,-1.58974073,1.66586891,2.208190159,1.209089256,m26,iy
0.618039248,-0.827532367,-0.976588036,-0.255082122,0.618039248,-0.827532367,-0.976588036,-0.255082122,m26,uh
